Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,50+,0,4s,6s
RM Patidar (RCB),2021-2024,27,24,1,799,112*,34.73,503,158.84,1,7,8,1,51,54
ML Hayden (CSK),2008-2010,32,32,2,1107,93,36.9,805,137.51,-,8,8,1,121,44
SS Tiwary (DC/MI/RCB/RPS),2008-2021,93,74,22,1494,61,28.73,1244,120.09,-,8,8,1,111,50
DJ Hooda (KXIP/LSG/PBKS/RR/SRH),2015-2024,118,96,16,1465,64,18.31,1131,129.53,-,8,8,4,96,61
SP Narine (KKR),2012-2024,177,110,20,1534,109,17.04,925,165.83,1,7,8,16,164,97
B Sai Sudharsan (GT),2022-2024,25,25,3,1034,103,47.0,743,139.16,1,6,7,-,95,31
H Klaasen (RCB/RR/SRH),2018-2024,35,32,6,993,104,38.19,590,168.3,1,6,7,1,56,64
SC Ganguly (KKR/PWI),2008-2012,59,56,3,1349,91,25.45,1263,106.8,-,7,7,4,137,42
Abhishek Sharma (DC/SRH),2018-2024,63,61,7,1377,75*,25.5,887,155.24,-,7,7,2,128,73
MK Tiwary (DC/KKR/KXIP/RPS),2008-2018,98,85,26,1695,75*,28.72,1449,116.97,-,7,7,8,156,40
PD Salt (DC/KKR),2023-2024,21,21,2,653,89*,34.36,372,175.53,-,6,6,3,74,34
TM Head (RCB/SRH),2016-2024,25,25,4,772,102,36.76,444,173.87,1,5,6,4,76,40
HH Gibbs (DCH/MI),2008-2012,36,36,4,886,69*,27.68,807,109.78,-,6,6,4,83,31
A Symonds (DCH/MI),2008-2011,39,36,9,974,117*,36.07,750,129.86,1,5,6,-,74,41
NT Tilak Varma (MI),2022-2024,38,38,9,1156,84*,39.86,790,146.32,-,6,6,1,90,58
LS Livingstone (PBKS/RR),2019-2024,39,39,6,939,94,28.45,578,162.45,-,6,6,1,66,66
CL White (DCH/RCB/SRH),2008-2013,47,45,9,954,78,26.5,755,126.35,-,6,6,4,76,36
MM Ali (CSK/RCB),2018-2024,67,57,6,1162,93,22.78,821,141.53,-,6,6,5,95,67
R Parag (RR),2019-2024,70,58,10,1173,84*,24.43,868,135.13,-,6,6,3,84,60
V Shankar (CSK/DC/GT/SRH),2014-2024,72,60,16,1115,63*,25.34,859,129.8,-,6,6,2,80,45
BJ Hodge (KKR/Kochi/RR),2008-2014,66,63,21,1400,73,33.33,1118,125.22,-,6,6,3,122,43
NV Ojha (DC/RR/SRH),2009-2018,113,94,19,1554,94*,20.72,1313,118.35,-,6,6,8,121,79
Mandeep Singh (DC/KKR/KXIP/PBKS/RCB),2010-2023,111,98,16,1706,77*,20.8,1388,122.91,-,6,6,15,176,38
HM Amla (KXIP),2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,5,2,60,21
ST Jayasuriya (MI),2008-2010,30,30,2,768,114*,27.42,532,144.36,1,4,5,2,84,39
KP Pietersen (DC/RCB/RPS),2009-2016,36,36,9,1001,103*,37.07,743,134.72,1,4,5,3,91,40
AK Markram (PBKS/SRH),2021-2024,44,42,9,995,68*,30.15,767,129.72,-,5,5,2,73,35
SM Curran (CSK/KXIP/PBKS),2019-2024,59,48,13,883,63*,25.22,647,136.47,-,5,5,4,74,37
MC Henriques (DC/KKR/PBKS/RCB/SRH),2009-2021,62,54,18,1000,74*,27.77,788,126.9,-,5,5,2,87,28
DJ Hussey (CSK/KKR/KXIP),2008-2014,64,61,12,1322,71,26.97,1075,122.97,-,5,5,4,90,60
EJG Morgan (KKR/KXIP/RCB/SRH),2010-2021,83,75,13,1405,68*,22.66,1146,122.6,-,5,5,6,112,64
DJ Bravo (CSK/GL/MI),2008-2022,161,113,44,1560,70*,22.6,1204,129.56,-,5,5,5,120,66
